,Team 1,Team 2,Winner,Margin,Ground,Match Date,Type
664,Royals,Mum Indians,Royals,3 wickets,Jaipur,"Apr 22, 2018",T20
665,Daredevils,Kings XI,Kings XI,4 runs,Delhi,"Apr 23, 2018",T20
666,Mum Indians,Sunrisers,Sunrisers,31 runs,Mumbai,"Apr 24, 2018",T20
667,RCB,Super Kings,Super Kings,5 wickets,Bengaluru,"Apr 25, 2018",T20
668,Sunrisers,Kings XI,Sunrisers,13 runs,Hyderabad (Deccan),"Apr 26, 2018",T20
669,Daredevils,KKR,Daredevils,55 runs,Delhi,"Apr 27, 2018",T20
670,Super Kings,Mum Indians,Mum Indians,8 wickets,Pune,"Apr 28, 2018",T20
671,Royals,Sunrisers,Sunrisers,11 runs,Jaipur,"Apr 29, 2018",T20
672,RCB,KKR,KKR,6 wickets,Bengaluru,"Apr 29, 2018",T20
673,Super Kings,Daredevils,Super Kings,13 runs,Pune,"Apr 30, 2018",T20
674,RCB,Mum Indians,RCB,14 runs,Bengaluru,"May 1, 2018",T20
675,Daredevils,Royals,Daredevils,4 runs,Delhi,"May 2, 2018",T20
676,KKR,Super Kings,KKR,6 wickets,Kolkata,"May 3, 2018",T20
677,Kings XI,Mum Indians,Mum Indians,6 wickets,Indore,"May 4, 2018",T20
678,Super Kings,RCB,Super Kings,6 wickets,Pune,"May 5, 2018",T20
679,Sunrisers,Daredevils,Sunrisers,7 wickets,Hyderabad (Deccan),"May 5, 2018",T20
680,Mum Indians,KKR,Mum Indians,13 runs,Mumbai,"May 6, 2018",T20
681,Kings XI,Royals,Kings XI,6 wickets,Indore,"May 6, 2018",T20
682,Sunrisers,RCB,Sunrisers,5 runs,Hyderabad (Deccan),"May 7, 2018",T20
683,Royals,Kings XI,Royals,15 runs,Jaipur,"May 8, 2018",T20
684,KKR,Mum Indians,Mum Indians,102 runs,Kolkata,"May 9, 2018",T20
685,Daredevils,Sunrisers,Sunrisers,9 wickets,Delhi,"May 10, 2018",T20
686,Royals,Super Kings,Royals,4 wickets,Jaipur,"May 11, 2018",T20
687,Kings XI,KKR,KKR,31 runs,Indore,"May 12, 2018",T20
688,Daredevils,RCB,RCB,5 wickets,Delhi,"May 12, 2018",T20
689,Super Kings,Sunrisers,Super Kings,8 wickets,Pune,"May 13, 2018",T20
690,Mum Indians,Royals,Royals,7 wickets,Mumbai,"May 13, 2018",T20
691,Kings XI,RCB,RCB,10 wickets,Indore,"May 14, 2018",T20
692,KKR,Royals,KKR,6 wickets,Kolkata,"May 15, 2018",T20
693,Mum Indians,Kings XI,Mum Indians,3 runs,Mumbai,"May 16, 2018",T20
